status,loan_amnt,term,annual_inc,dti,payment_inc_ratio,revol_bal,revol_util,purpose,home_ownership,delinq_2yrs_zero,pub_rec_zero,open_acc,grade,outcome,emp_length,purpose_,home_,emp_len_
Fully Paid,5500,36 months,60000,22.78,3.441,5275.0,87.9,credit_card,RENT,1,1,13,7.0,paid off,1,credit_card,RENT, > 1 Year
Fully Paid,8000,36 months,75000,19.58,3.98208,3056.0,11.5,debt_consolidation,MORTGAGE,1,1,13,6.8,paid off,2,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,2400,36 months,39996,18.39,2.35734,0.0,0.0,other,RENT,1,1,4,5.8,paid off,5,other,RENT, > 1 Year
Fully Paid,20000,36 months,70000,13.01,11.5697,19726.0,55.3,debt_consolidation,RENT,1,1,9,4.4,paid off,4,debt_consolidation,RENT, > 1 Year
Charged Off,16000,36 months,80000,12.73,8.0988,6864.0,59.7,debt_consolidation,RENT,1,1,6,4.4,default,4,debt_consolidation,RENT, > 1 Year
Fully Paid,7200,36 months,60000,11.24,4.8852,21339.0,66.7,credit_card,RENT,1,1,14,4.6,paid off,4,credit_card,RENT, > 1 Year
Fully Paid,2000,36 months,23040,15.0,3.5151,468.0,93.6,other,RENT,1,1,4,4.4,paid off,4,other,RENT, > 1 Year
Fully Paid,10000,36 months,53000,16.32,7.33245,9066.0,15.9,debt_consolidation,RENT,1,1,9,5.4,paid off,8,debt_consolidation,RENT, > 1 Year
Charged Off,15000,36 months,64000,16.69,9.1575,14786.0,39.2,debt_consolidation,MORTGAGE,0,1,12,5.6,default,8,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,4000,36 months,48000,20.1,3.4105,1039.0,69.3,other,RENT,1,1,7,4.8,paid off,1,other,RENT, > 1 Year
Fully Paid,14750,36 months,42000,22.71,13.5746,1783.0,24.8,major_purchase,RENT,1,1,6,5.2,paid off,5,major_purchase,RENT, > 1 Year
Fully Paid,3000,36 months,504000,1.48,0.235095,146.0,12.2,debt_consolidation,RENT,1,1,4,6.0,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,25000,36 months,179000,6.42,5.48635,15325.0,23.2,debt_consolidation,MORTGAGE,1,1,14,5.8,paid off,3,debt_consolidation,MORTGAGE, > 1 Year
Charged Off,9600,36 months,68000,15.14,5.48647,5778.0,17.9,house,RENT,0,0,6,5.4,default,3,home_improvement,RENT, > 1 Year
Fully Paid,12000,36 months,42000,20.51,11.2237,6930.0,36.5,debt_consolidation,RENT,1,1,7,5.8,paid off,2,debt_consolidation,RENT, > 1 Year
Charged Off,1500,36 months,45000,17.12,1.24453,5393.0,42.8,other,RENT,1,1,6,6.8,default,0,other,RENT, < 1 Year
Charged Off,8000,36 months,28000,21.39,11.2239,16774.0,62.1,small_business,RENT,1,1,9,5.8,default,4,small_business,RENT, > 1 Year
Fully Paid,3200,36 months,30000,12.68,4.3424,2206.0,16.1,debt_consolidation,MORTGAGE,1,1,3,4.6,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,25000,36 months,74000,23.58,14.4918,41098.0,69.0,debt_consolidation,RENT,1,1,23,2.6,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,15000,36 months,36000,23.7,16.1927,2490.0,2.1,other,OWN,1,1,17,5.4,paid off,0,other,OWN, < 1 Year
Fully Paid,5000,36 months,103000,12.35,2.01833,8403.0,98.9,other,MORTGAGE,1,1,8,3.4,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,3250,36 months,12000,15.6,10.639,3729.0,56.5,debt_consolidation,OWN,1,1,3,5.8,paid off,1,debt_consolidation,OWN, > 1 Year
Fully Paid,7000,36 months,120000,9.23,2.1539,45702.0,5.3,major_purchase,MORTGAGE,0,1,16,6.4,paid off,11,major_purchase,MORTGAGE, > 1 Year
Charged Off,4200,36 months,34000,16.02,5.27153,4227.0,93.9,other,RENT,1,1,3,2.4,default,5,other,RENT, > 1 Year
Fully Paid,9500,36 months,75000,21.84,5.29392,8904.0,55.0,debt_consolidation,RENT,1,1,18,3.6,paid off,2,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,44000,21.03,5.61027,13420.0,88.3,debt_consolidation,RENT,1,1,10,5.0,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,8500,36 months,24000,22.65,13.6895,6941.0,47.9,debt_consolidation,RENT,1,1,9,5.2,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,10000,36 months,45000,10.64,9.2392,1468.0,86.4,debt_consolidation,RENT,1,1,2,3.4,paid off,7,debt_consolidation,RENT, > 1 Year
Fully Paid,2500,36 months,25000,14.16,4.07136,0.0,0.0,debt_consolidation,RENT,0,1,4,4.6,paid off,6,debt_consolidation,RENT, > 1 Year
Fully Paid,6500,36 months,52000,12.18,4.61562,766.0,10.2,debt_consolidation,MORTGAGE,1,1,6,6.4,paid off,7,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,25000,36 months,150000,18.78,6.58224,4546.0,13.3,home_improvement,RENT,0,1,12,6.0,paid off,2,home_improvement,RENT, > 1 Year
Fully Paid,15200,36 months,50000,10.1,11.814,14652.0,54.1,debt_consolidation,RENT,1,1,6,5.4,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,10000,36 months,70000,9.27,5.97069,10060.0,52.4,credit_card,RENT,0,0,16,3.6,paid off,6,credit_card,RENT, > 1 Year
Fully Paid,20000,36 months,96000,10.19,8.18388,21153.0,55.6,debt_consolidation,MORTGAGE,1,1,12,5.8,paid off,5,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,22000,36 months,75573,19.96,11.2521,18122.0,39.5,debt_consolidation,MORTGAGE,1,1,9,5.2,paid off,10,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,10750,36 months,60000,20.96,6.7254,21589.0,49.1,credit_card,MORTGAGE,1,1,9,7.0,paid off,11,credit_card,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,80000,3.57,2.81535,6730.0,36.5,home_improvement,MORTGAGE,1,1,15,7.0,paid off,2,home_improvement,MORTGAGE, > 1 Year
Fully Paid,20000,36 months,185000,8.34,4.2696,46501.0,79.8,debt_consolidation,MORTGAGE,1,1,10,6.0,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,4750,36 months,40000,0.0,4.4091,0.0,0.0,home_improvement,MORTGAGE,1,1,6,6.6,paid off,7,home_improvement,MORTGAGE, > 1 Year
Charged Off,12000,36 months,60000,20.32,8.056,6359.0,48.2,debt_consolidation,MORTGAGE,1,1,6,4.2,default,0,debt_consolidation,MORTGAGE, < 1 Year
Fully Paid,5500,36 months,15436,8.01,13.3752,2817.0,14.5,debt_consolidation,RENT,1,0,8,7.0,paid off,0,debt_consolidation,RENT, < 1 Year
Fully Paid,5000,36 months,54000,15.11,3.43778,6288.0,16.0,credit_card,MORTGAGE,1,1,14,6.6,paid off,3,credit_card,MORTGAGE, > 1 Year
Fully Paid,24250,36 months,120000,0.88,7.8958,358.0,0.7,major_purchase,MORTGAGE,1,1,6,5.6,paid off,3,major_purchase,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,40800,9.33,9.1,11218.0,20.4,debt_consolidation,MORTGAGE,1,1,11,6.6,paid off,4,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,9000,36 months,65993,20.13,5.64042,45929.0,81.4,debt_consolidation,MORTGAGE,1,1,13,3.2,paid off,4,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,7000,36 months,42000,17.4,6.25629,8861.0,40.5,debt_consolidation,RENT,1,1,11,7.0,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,10000,36 months,55000,12.98,7.104,0.0,0.0,other,MORTGAGE,1,1,8,5.6,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,12000,36 months,56000,6.62,8.41779,10538.0,49.2,debt_consolidation,MORTGAGE,0,1,10,5.8,paid off,6,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,25000,36 months,139000,14.71,7.43853,19084.0,60.6,credit_card,RENT,1,1,10,3.2,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,5750,36 months,34000,19.02,6.67906,5982.0,74.8,debt_consolidation,RENT,1,0,11,6.0,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,124500,22.19,1.88299,111392.0,72.4,other,MORTGAGE,1,1,13,5.6,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,6500,36 months,24000,1.25,10.6965,0.0,0.0,other,RENT,1,1,2,6.0,paid off,1,other,RENT, > 1 Year
Fully Paid,15000,36 months,48000,6.28,12.1445,2007.0,6.9,other,OWN,0,1,6,5.4,paid off,8,other,OWN, > 1 Year
Fully Paid,5000,36 months,47000,15.17,4.1566,8881.0,60.0,other,RENT,1,1,12,5.6,paid off,3,other,RENT, > 1 Year
Fully Paid,4000,36 months,52000,10.11,3.00554,1373.0,17.0,car,OWN,1,1,10,5.6,paid off,11,major_purchase,OWN, > 1 Year
Fully Paid,10000,36 months,56000,1.67,7.19293,4432.0,58.3,major_purchase,MORTGAGE,1,0,5,4.2,paid off,11,major_purchase,MORTGAGE, > 1 Year
Fully Paid,2000,36 months,50450,8.99,1.53253,1274.0,19.9,other,RENT,1,1,4,5.2,paid off,4,other,RENT, > 1 Year
Fully Paid,10800,36 months,54000,21.64,7.50733,36145.0,61.9,debt_consolidation,MORTGAGE,1,1,11,7.0,paid off,10,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,14400,36 months,87663,17.51,6.41812,33131.0,54.0,credit_card,MORTGAGE,1,1,17,5.6,paid off,6,credit_card,MORTGAGE, > 1 Year
Fully Paid,16500,36 months,68000,2.86,9.10818,10409.0,19.2,credit_card,RENT,1,1,7,7.0,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,14700,36 months,91000,19.91,6.06356,10407.0,22.1,debt_consolidation,MORTGAGE,1,1,11,7.0,paid off,6,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,3000,36 months,55000,18.31,2.00313,73135.0,7.3,other,RENT,1,1,8,6.2,paid off,1,other,RENT, > 1 Year
Fully Paid,16000,36 months,76000,12.28,8.27005,10100.0,45.5,debt_consolidation,RENT,1,1,6,5.8,paid off,7,debt_consolidation,RENT, > 1 Year
Fully Paid,18000,36 months,82800,13.91,8.44826,21098.0,63.5,debt_consolidation,MORTGAGE,1,1,8,5.4,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,72000,17.45,5.83517,7484.0,78.8,credit_card,RENT,1,1,8,3.8,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,18000,36 months,62000,16.05,11.8814,23246.0,77.2,other,RENT,1,1,7,4.8,paid off,1,other,RENT, > 1 Year
Fully Paid,6000,36 months,228000,7.49,0.977053,35724.0,5.4,major_purchase,MORTGAGE,1,1,11,6.6,paid off,11,major_purchase,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,45000,1.25,8.296,685.0,1.5,wedding,MORTGAGE,1,1,6,6.8,paid off,8,other,MORTGAGE, > 1 Year
Fully Paid,3000,36 months,50000,8.83,2.2524,4648.0,48.4,small_business,MORTGAGE,1,1,8,7.0,paid off,4,small_business,MORTGAGE, > 1 Year
Fully Paid,7000,36 months,23460,10.79,11.6583,565.0,25.7,major_purchase,RENT,1,1,10,5.6,paid off,6,major_purchase,RENT, > 1 Year
Fully Paid,4500,36 months,108000,10.11,1.547,2186.0,3.3,other,MORTGAGE,1,1,13,6.6,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,21000,36 months,77250,7.88,12.0263,7408.0,95.0,debt_consolidation,RENT,1,1,6,1.8,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,8000,36 months,250000,5.07,1.19462,3724.0,14.6,home_improvement,MORTGAGE,1,1,6,6.8,paid off,11,home_improvement,MORTGAGE, > 1 Year
Fully Paid,12000,36 months,120000,23.01,3.9283,74979.0,0.0,other,MORTGAGE,0,1,6,5.8,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,16000,36 months,51000,18.12,12.704,1794.0,30.9,debt_consolidation,MORTGAGE,1,1,6,4.4,paid off,4,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,8500,36 months,24570,10.35,14.0835,0.0,0.0,debt_consolidation,MORTGAGE,1,1,3,4.6,paid off,3,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,14500,36 months,55000,21.21,10.6193,24330.0,71.6,debt_consolidation,OWN,0,1,11,4.2,paid off,11,debt_consolidation,OWN, > 1 Year
Fully Paid,20000,36 months,39500,19.35,20.5033,24304.0,65.7,debt_consolidation,RENT,1,1,4,4.4,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,3500,36 months,33000,9.05,4.12182,7455.0,51.4,other,RENT,1,1,3,5.4,paid off,2,other,RENT, > 1 Year
Fully Paid,6250,36 months,28800,18.04,8.43375,14863.0,81.7,debt_consolidation,MORTGAGE,1,1,5,5.4,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Charged Off,18000,36 months,45000,10.13,17.1584,8218.0,99.0,debt_consolidation,RENT,1,1,3,2.6,default,4,debt_consolidation,RENT, > 1 Year
Fully Paid,8000,36 months,43800,19.59,7.91616,16610.0,99.5,debt_consolidation,RENT,1,1,7,3.0,paid off,9,debt_consolidation,RENT, > 1 Year
Fully Paid,2000,36 months,24432,6.97,3.2333,5778.0,41.0,debt_consolidation,RENT,1,1,5,6.0,paid off,1,debt_consolidation,RENT, > 1 Year
Fully Paid,7500,36 months,85000,7.51,3.46616,2245.0,18.3,home_improvement,MORTGAGE,1,1,9,5.8,paid off,9,home_improvement,MORTGAGE, > 1 Year
Fully Paid,3000,36 months,108000,18.04,1.09711,24434.0,56.6,other,RENT,1,1,24,6.0,paid off,11,other,RENT, > 1 Year
Fully Paid,15600,36 months,91080,18.67,7.19592,69823.0,93.0,other,MORTGAGE,1,1,10,3.8,paid off,5,other,MORTGAGE, > 1 Year
Fully Paid,25000,36 months,142500,13.39,7.33229,39352.0,69.6,debt_consolidation,MORTGAGE,1,1,16,3.6,paid off,2,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,15000,36 months,51600,21.6,11.2363,0.0,0.0,wedding,OWN,1,1,8,5.2,paid off,11,other,OWN, > 1 Year
Fully Paid,18000,36 months,73200,0.26,9.65967,526.0,2.3,home_improvement,MORTGAGE,1,1,6,5.8,paid off,6,home_improvement,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,82000,0.4,2.70176,2171.0,11.5,other,MORTGAGE,1,1,9,6.4,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,3500,36 months,21600,21.33,6.04944,8240.0,44.5,other,RENT,1,1,5,6.8,paid off,3,other,RENT, > 1 Year
Charged Off,7500,36 months,60000,11.62,4.8578,5419.0,31.1,debt_consolidation,RENT,1,1,13,5.4,default,2,debt_consolidation,RENT, > 1 Year
Fully Paid,4800,36 months,64000,11.12,3.021,26021.0,80.1,debt_consolidation,RENT,1,1,9,4.2,paid off,10,debt_consolidation,RENT, > 1 Year
Fully Paid,15000,36 months,40000,8.37,15.4281,6059.0,57.2,other,RENT,1,1,4,5.0,paid off,3,other,RENT, > 1 Year
Fully Paid,6000,36 months,60000,19.42,3.7128,599.0,2.1,small_business,MORTGAGE,1,1,16,6.6,paid off,11,small_business,MORTGAGE, > 1 Year
Fully Paid,5000,36 months,80000,10.81,2.4684,5595.0,36.8,major_purchase,MORTGAGE,1,1,7,6.0,paid off,6,major_purchase,MORTGAGE, > 1 Year
Fully Paid,3500,36 months,51000,20.89,2.57624,18003.0,62.1,debt_consolidation,OWN,1,1,6,7.0,paid off,4,debt_consolidation,OWN, > 1 Year
Fully Paid,5000,36 months,42000,24.17,4.44429,2542.0,18.4,other,RENT,1,1,10,6.8,paid off,4,other,RENT, > 1 Year
Fully Paid,14400,36 months,102000,17.56,5.77765,28266.0,74.2,debt_consolidation,MORTGAGE,1,1,10,4.8,paid off,2,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,106000,9.82,3.94291,3637.0,28.4,wedding,MORTGAGE,1,1,8,3.6,paid off,10,other,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,24000,7.3,9.821,6739.0,41.3,debt_consolidation,MORTGAGE,1,1,9,5.8,paid off,2,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,47000,18.97,7.98664,20636.0,36.1,wedding,OWN,1,1,12,7.0,paid off,3,other,OWN, > 1 Year
Charged Off,20000,36 months,64000,6.06,12.1444,6587.0,18.3,debt_consolidation,RENT,1,1,17,5.4,default,1,debt_consolidation,RENT, > 1 Year
Fully Paid,7750,36 months,78000,13.63,3.70923,147451.0,4.7,small_business,MORTGAGE,1,1,11,6.8,paid off,11,small_business,MORTGAGE, > 1 Year
Fully Paid,24250,36 months,198000,12.92,5.03873,21515.0,63.8,debt_consolidation,MORTGAGE,1,1,13,5.0,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,13000,36 months,61615,19.83,8.24371,17658.0,47.7,debt_consolidation,MORTGAGE,1,1,10,5.6,paid off,5,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,25000,36 months,81600,17.71,12.0997,39310.0,45.1,credit_card,RENT,1,1,13,6.0,paid off,2,credit_card,RENT, > 1 Year
Fully Paid,15000,36 months,61400,19.99,9.49407,14526.0,49.2,debt_consolidation,MORTGAGE,1,1,11,5.4,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,20000,36 months,102000,6.05,7.74388,26247.0,46.6,debt_consolidation,MORTGAGE,1,1,12,6.0,paid off,4,debt_consolidation,MORTGAGE, > 1 Year
Charged Off,10000,36 months,186000,6.84,2.08935,6041.0,49.5,small_business,OWN,1,1,5,5.4,default,11,small_business,OWN, > 1 Year
Fully Paid,2000,36 months,65000,17.8,1.15514,2083.0,19.8,small_business,MORTGAGE,1,1,11,7.0,paid off,4,small_business,MORTGAGE, > 1 Year
Fully Paid,2400,36 months,27000,22.67,3.492,3e3,9.4,other,OWN,0,1,12,5.8,paid off,8,other,OWN, > 1 Year
Fully Paid,10000,36 months,150000,1.32,2.4752,3028.0,8.9,vacation,MORTGAGE,1,1,11,6.6,paid off,6,other,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,30288,5.67,7.9794,5835.0,17.8,other,MORTGAGE,1,1,7,4.2,paid off,3,other,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,36250,15.66,6.80971,9991.0,42.0,other,RENT,1,1,13,5.0,paid off,9,other,RENT, > 1 Year
Fully Paid,4800,36 months,140000,15.93,1.287,29030.0,66.7,debt_consolidation,MORTGAGE,1,1,11,7.0,paid off,3,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,12500,36 months,60000,9.46,8.0962,9936.0,16.7,debt_consolidation,RENT,1,1,14,5.4,paid off,5,debt_consolidation,RENT, > 1 Year
Charged Off,5000,36 months,36000,3.17,5.83533,2600.0,65.0,medical,RENT,1,1,7,3.8,default,2,medical,RENT, > 1 Year
Fully Paid,2000,36 months,25000,20.83,3.14304,799.0,4.2,major_purchase,OWN,0,1,10,5.8,paid off,5,major_purchase,OWN, > 1 Year
Fully Paid,10000,36 months,23000,13.93,16.8057,3766.0,33.3,debt_consolidation,RENT,1,1,4,5.2,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,6400,36 months,40000,3.21,5.973,2482.0,82.7,other,MORTGAGE,1,1,6,6.8,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,5000,36 months,90000,1.93,2.05133,5768.0,8.9,other,OWN,1,1,10,6.4,paid off,0,other,OWN, < 1 Year
Fully Paid,12000,36 months,150000,12.93,3.12576,58179.0,84.2,debt_consolidation,MORTGAGE,1,1,12,5.6,paid off,10,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,12000,36 months,55000,15.71,8.83505,4278.0,79.2,debt_consolidation,RENT,1,1,4,4.4,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,4800,36 months,120000,14.47,1.6457,13653.0,51.5,car,RENT,1,1,16,5.0,paid off,11,major_purchase,RENT, > 1 Year
Fully Paid,13000,36 months,130000,9.2,3.86529,19131.0,63.1,debt_consolidation,RENT,1,1,6,5.2,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,6500,36 months,56000,11.76,4.28593,1415.0,6.1,credit_card,RENT,1,1,9,6.4,paid off,2,credit_card,RENT, > 1 Year
Fully Paid,2400,36 months,25800,10.41,3.86791,4305.0,97.8,credit_card,MORTGAGE,1,0,8,3.4,paid off,1,credit_card,MORTGAGE, > 1 Year
Fully Paid,1000,36 months,7800,7.69,5.06462,1112.0,92.7,other,RENT,1,1,6,6.0,paid off,2,other,RENT, > 1 Year
Fully Paid,7000,36 months,82000,13.14,3.54922,33583.0,92.3,debt_consolidation,RENT,1,1,5,3.4,paid off,1,debt_consolidation,RENT, > 1 Year
Fully Paid,7000,36 months,123000,7.13,2.12459,1016.0,2.7,home_improvement,MORTGAGE,1,1,5,6.8,paid off,11,home_improvement,MORTGAGE, > 1 Year
Fully Paid,21250,36 months,55000,21.69,16.2323,3424.0,95.1,debt_consolidation,OWN,1,1,5,3.8,paid off,7,debt_consolidation,OWN, > 1 Year
Fully Paid,8500,36 months,45000,2.01,7.38027,7011.0,48.0,debt_consolidation,RENT,1,1,12,5.6,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,8500,36 months,80000,23.23,3.96645,17757.0,25.8,home_improvement,MORTGAGE,1,1,15,6.8,paid off,6,home_improvement,MORTGAGE, > 1 Year
Fully Paid,7000,36 months,83000,0.0,3.39716,0.0,0.0,debt_consolidation,MORTGAGE,1,0,3,4.2,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,48000,1.45,4.69225,694.0,53.4,other,MORTGAGE,1,1,5,7.0,paid off,2,other,MORTGAGE, > 1 Year
Fully Paid,5000,36 months,61498,17.46,3.21103,5756.0,31.1,debt_consolidation,MORTGAGE,1,1,13,6.0,paid off,6,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,7500,36 months,40000,9.84,7.5525,12420.0,17.2,debt_consolidation,RENT,1,1,23,4.2,paid off,8,debt_consolidation,RENT, > 1 Year
Fully Paid,5000,36 months,74000,12.71,2.64,27457.0,48.3,home_improvement,OWN,1,1,15,5.6,paid off,4,home_improvement,OWN, > 1 Year
Fully Paid,1800,36 months,25200,6.05,2.63762,3832.0,18.2,credit_card,RENT,1,1,7,6.4,paid off,3,credit_card,RENT, > 1 Year
Fully Paid,9600,36 months,40000,20.97,9.7704,7795.0,46.4,medical,RENT,1,1,9,4.6,paid off,2,medical,RENT, > 1 Year
Fully Paid,5000,36 months,45000,14.43,4.47573,1507.0,44.3,debt_consolidation,RENT,1,0,6,4.2,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,12000,36 months,53000,19.06,9.31494,4511.0,12.6,small_business,RENT,0,1,14,5.0,paid off,1,small_business,RENT, > 1 Year
Fully Paid,25000,36 months,85000,10.55,11.5536,60914.0,63.5,debt_consolidation,MORTGAGE,1,1,11,5.8,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,12000,36 months,42500,5.56,11.1512,8194.0,56.5,debt_consolidation,RENT,1,1,4,6.0,paid off,10,debt_consolidation,RENT, > 1 Year
Fully Paid,4200,36 months,250000,10.58,0.680304,36063.0,95.2,other,MORTGAGE,1,1,8,4.4,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,2500,36 months,120000,9.44,0.8572,8259.0,92.8,other,RENT,0,1,5,5.0,paid off,6,other,RENT, > 1 Year
Fully Paid,16000,36 months,52000,13.71,12.9272,16416.0,68.1,credit_card,RENT,1,1,10,3.8,paid off,10,credit_card,RENT, > 1 Year
Fully Paid,15000,36 months,56000,19.2,10.4657,16897.0,49.7,credit_card,OWN,1,1,5,5.6,paid off,3,credit_card,OWN, > 1 Year
Charged Off,14500,36 months,36000,18.23,16.6583,3679.0,49.1,debt_consolidation,RENT,1,1,7,3.2,default,2,debt_consolidation,RENT, > 1 Year
Fully Paid,4000,36 months,115000,16.82,1.416,10555.0,73.3,other,MORTGAGE,1,1,10,4.6,paid off,4,other,MORTGAGE, > 1 Year
Fully Paid,14000,36 months,46800,0.74,11.229,1495.0,14.2,credit_card,RENT,1,1,5,7.0,paid off,5,credit_card,RENT, > 1 Year
Fully Paid,3200,36 months,79000,18.18,1.52051,40178.0,35.6,credit_card,MORTGAGE,1,1,13,7.0,paid off,3,credit_card,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,58750,16.03,4.26832,3687.0,92.2,wedding,MORTGAGE,1,1,10,3.6,paid off,7,other,MORTGAGE, > 1 Year
Fully Paid,14000,36 months,118000,0.11,4.45353,0.0,0.0,small_business,OWN,1,1,9,7.0,paid off,10,small_business,OWN, > 1 Year
Fully Paid,16000,36 months,51000,14.92,12.8393,21242.0,82.3,credit_card,RENT,1,1,15,4.8,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,10000,36 months,20000,8.28,21.3372,598.0,99.7,other,OWN,1,1,3,2.4,paid off,1,other,OWN, > 1 Year
Fully Paid,20000,36 months,78000,19.42,10.0185,35718.0,68.7,credit_card,RENT,1,1,11,5.6,paid off,10,credit_card,RENT, > 1 Year
Fully Paid,7000,36 months,37200,8.77,7.39194,9945.0,55.2,credit_card,RENT,1,1,6,5.8,paid off,2,credit_card,RENT, > 1 Year
Fully Paid,10000,36 months,50000,13.49,8.53488,13328.0,98.7,debt_consolidation,RENT,1,1,7,2.4,paid off,5,debt_consolidation,RENT, > 1 Year
Charged Off,10000,36 months,50000,18.26,8.142,6708.0,69.9,debt_consolidation,RENT,0,1,11,4.6,default,3,debt_consolidation,RENT, > 1 Year
Fully Paid,3300,36 months,45000,11.25,2.8808,2682.0,19.2,car,MORTGAGE,1,1,9,5.8,paid off,2,major_purchase,MORTGAGE, > 1 Year
Fully Paid,24250,36 months,62500,14.9,15.1599,3805.0,12.6,small_business,RENT,1,1,14,5.6,paid off,2,small_business,RENT, > 1 Year
Fully Paid,8000,36 months,60000,16.26,5.2096,5021.0,24.5,debt_consolidation,RENT,1,1,12,5.6,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,22000,36 months,72000,19.87,11.8745,35756.0,51.2,major_purchase,MORTGAGE,1,1,13,5.4,paid off,0,major_purchase,MORTGAGE, < 1 Year
Charged Off,20000,36 months,65000,7.53,12.526,0.0,0.0,small_business,MORTGAGE,1,1,4,4.6,default,3,small_business,MORTGAGE, > 1 Year
Charged Off,9600,36 months,37800,23.84,10.339,2304.0,32.9,other,RENT,1,1,7,4.6,default,8,other,RENT, > 1 Year
Fully Paid,9000,36 months,95000,9.18,3.55617,17538.0,3.7,credit_card,MORTGAGE,1,1,9,7.0,paid off,11,credit_card,MORTGAGE, > 1 Year
Fully Paid,8500,36 months,55000,0.41,5.9736,8786.0,44.3,credit_card,RENT,1,1,8,5.2,paid off,6,credit_card,RENT, > 1 Year
Fully Paid,3250,36 months,60000,21.44,2.182,20564.0,80.6,debt_consolidation,MORTGAGE,1,1,12,4.2,paid off,4,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,8500,36 months,36500,11.31,8.64625,8137.0,15.8,credit_card,MORTGAGE,1,1,10,6.6,paid off,5,credit_card,MORTGAGE, > 1 Year
Fully Paid,14000,36 months,95000,1.28,5.75798,2085.0,53.5,car,RENT,1,1,5,5.6,paid off,6,major_purchase,RENT, > 1 Year
Fully Paid,2000,36 months,20928,7.4,3.89048,2499.0,20.0,major_purchase,RENT,1,1,12,4.6,paid off,1,major_purchase,RENT, > 1 Year
